| Communications | Philippines |
| --- | --- |
| Telephones - main lines in use: | 4.1 million (2009) |
| Telephones - mobile cellular: | 74.489 million (2009) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate |
| Telephone system: | domestic: domestic satellite system with 11 earth stations; mobile-cellular communications now dominate the industry; combined fixed-line and mobile-cellular teledensity about 80 telephones per 100 persons |
| Telephone system: | international: country code - 63; a series of submarine cables together provide connectivity to Asia, US, the Middle East, and Europe; multiple international gateways (2009) |
| Broadcast media: | multiple national private TV and radio networks and a government-operated national TV and radio network; about 300 television stations and more than 1,000 radio stations; multi-channel satellite and cable TV systems are available (2008) |
| Internet country code: | .ph |
| Internet hosts: | 394,990 (2010) |
| Internet users: | 8.278 million (2009) |
