| Communications | Benin |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 37,305 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 10,905,559 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 87.7 (2019 est.) |
| Telecommunication systems: | general assessment: fixed-line network characterized by aging, deteriorating equipment; mobile networks account for almost all Internet connections; govt. to provide telecom services to 80% of the country, mostly via mobile infrastructure by restructuring state-owned telecom companies; (mobile number portability) MNP is available; Benin joins free roaming scheme (2019) |
| Telecommunication systems: | domestic: fixed-line teledensity only about 1 per 100 persons; spurred by the presence of multiple mobile-cellular providers, cellular telephone subscribership has increased rapidly, exceeding 88 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 229; landing points for the SAT-3/WASC and ACE fiber-optic submarine cable that provides connectivity to Europe, andÂ most West African countries; satellite earth stations - 7 (Intelsat-Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-run Office de Radiodiffusion et de Television du Benin (ORTB) operates a TV station providing a wide broadcast reach; several privately owned TV stations broadcast from Cotonou; satellite TV subscription service is available; state-owned radio, under ORTB control, includes a national station supplemented by a number of regional stations; substantial number of privately owned radio broadcast stations; transmissions of a few international broadcasters are available on FM in Cotonou (2019) |
| Internet country code: | .bj |
| Internet users: | total: 2,403,596 |
| Internet users: | percent of population: 20% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 27,034 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
