| Communications | Sudan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 141,922 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 34,198,859 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77.11 (2019 est.) |
| Telecommunication systems: | general assessment: well-equipped system by regional standards and being upgraded; despite economic hardships govt. boosts mobile infrastructure and builds fiber broadband network across country; economic climate has not encouraged growth in telecoms, but some investment has been made to build mobile towers and expand LTE services; launches its own Chinese built satellite in 2019 to develop space technology sector (2020) |
| Telecommunication systems: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations; teledensity fixed-line less than 1 per 100 and mobile-cellular 77 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 249; landing points for the EASSy, FALCONÂ and SAS-1,-2, fiber-optic submarine cable systems linking Africa, the Middle East, Indian Ocean Islands and Asia; satellite earth stations - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation (2019) |
| Internet country code: | .sd |
| Internet users: | total: 13,311,404 |
| Internet users: | percent of population: 30.87% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 31,352 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
