| Communications | Sudan |
| --- | --- |
| Telephones - main lines in use: | 374,700 (2010) |
| Telephones - mobile cellular: | 17.654 million (2010) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations |
| Telephone system: | international: country code - 249; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Arabsat (2000) |
| Broadcast media: | the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation (2007) |
| Internet country code: | .sd |
| Internet hosts: | 70 (2010) |
| Internet users: | 4.2 million (2008) |
