| Communications | Sudan |
| --- | --- |
| Telephones - main lines in use: | 356,100 (2008) |
| Telephones - mobile cellular: | 11.186 million (2008) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations |
| Telephone system: | international: country code - 249; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Arabsat (2000) |
| Radio broadcast stations: | AM 12, FM 1, shortwave 1 (1998) |
| Television broadcast stations: | 3 (1997) |
| Internet country code: | .sd |
| Internet hosts: | 48 (2009) |
| Internet users: | 4.2 million (2008) |
