| Communications | Japan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 63,941,094 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 51 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 170,128,499 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135 (2017 est.) |
| Telephone system: | general assessment: excellent domestic and international service;Â Japan has exceedingly high mobile, mobile broadband and fixed broadband penetration; one of Japan's largest e-commerce companies planning to build its own nationwide 4G mobile network; Japan govt. to open up to new mobile network operators (MNO) for 5G services to be commercially available in 2020; Japan's first Cellular Vehicle-to-Everything (C-V2X) commencing during 2018 (2017) |
| Telephone system: | domestic: high level of modern technology and excellent service of every kind; 51 per 100 for fixed-line and 135 per 100 for mobile-cellular subscriptions (2017) |
| Telephone system: | international: country code - 81; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 7 Intelsat (Pacific and Indian Oceans), 1 Intersputnik (Indian Ocean region), 2 Inmarsat (Pacific and Indian Ocean regions), and 8 SkyPerfect JSAT (2017) |
| Broadcast media: | a mixture of public and commercial broadcast TV and radio stations; 6 national terrestrial TV networks including 1 public broadcaster; the large number of radio and TV stations available provide a wide range of choices; satellite and cable services provide access to international channels (2012) |
| Internet country code: | .jp |
| Internet users: | total: 116,565,962 (July 2016 est.) |
| Internet users: | percent of population: 92% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 40,390,640 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 32 (2017 est.) |
