| Communications | HAITI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 41,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 7.412 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 73 (July 2015 est.) |
| Telephone system: | general assessment: telecommunications infrastructure is among the least-developed in Latin America and the Caribbean; domestic cell service is functional |
| Telephone system: | domestic: mobile-cellular telephone services have expanded greatly in the last five years due to low-cost GSM phones and pay-as-you-go plans; mobile-cellular teledensity is about 70 per 100 persons |
| Telephone system: | international: country code - 509; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 130 television stations throughout the country, including 1 government-owned; cable TV subscription service available; 495 radio stations (of them, only 135 are licensed), including 1 government-owned; more than 250 private and community radio stations; over 50 FM stations in Port-au-Prince alone (2015) |
| Internet country code: | .ht |
| Internet users: | total: 1.233 million |
| Internet users: | percent of population: 12.2% (July 2015 est.) |
