| Communications | Finland |
| --- | --- |
| Telephones - main lines in use: | 1.65 million (2008) |
| Telephones - mobile cellular: | 6.83 million (2008) |
| Telephone system: | general assessment: modern system with excellent service |
| Telephone system: | domestic: digital fiber-optic fixed-line network and an extensive cellular network provide domestic needs |
| Telephone system: | international: country code - 358; submarine cables provide links to Estonia and Sweden; satellite earth stations - access to Intelsat transmission service via a Swedish satellite earth station, 1 Inmarsat (Atlantic and Indian Ocean regions); note - Finland shares the Inmarsat earth station with the other Nordic countries (Denmark, Iceland, Norway, and Sweden) |
| Radio broadcast stations: | AM 2, FM 59, shortwave 2 (2008) |
| Television broadcast stations: | 120 (plus 431 repeaters) (1999); note - on 1 September 2007, Finland began broadcasting all television signals digitally; analog broadcasts via cable networks were discontinued 29 February 2008 |
| Internet country code: | .fi; note - Aland Islands assigned .ax |
| Internet hosts: | 4.205 million (2009) |
| Internet users: | 4.383 million (2008) |
