| Communications | Finland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 269,980 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.86 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,179,481 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129.24 (2019 est.) |
| Telecommunication systems: | general assessment: excellent service; one of the most progressive in Europe; one of the highest broadband and mobile penetrations rates in the region; for 2025 and 2030 FttP (fiber to the home) and DOCSIS3.1Â (new generation of cable services for high speed connections)Â technologies; subscribers are migrating from 3G to LTE and 5G networks; astute regulatory measures have encouraged market competition and company investment (2020) |
| Telecommunication systems: | domestic: fixed-line 5 per 100 subscription and 129 per 100 mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 358; landing points for Botnia, BCS North-1 & 2, SFL, SFS-4, C-Lion1, Eastern Lights, Baltic Sea Submarine Cable, FEC, and EESF-2 & 3 submarine cables that provide links to manyÂ Finland points, Estonia, Sweden, Germany, and Russia; satellite earth stations - access to Intelsat transmission service via a Swedish satellite earth station, 1 Inmarsat (Atlantic and Indian Ocean regions); note - Finland shares the Inmarsat earth station with the other Nordic countries (Denmark, Iceland, Norway, and Sweden) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | a mix of 3 publicly operated TV stations and numerous privately owned TV stations; several free and special-interest pay-TV channels; cable and satellite multi-channel subscription services are available; all TV signals are broadcast digitally; Internet television, such as Netflix and others, is available; public broadcasting maintains a network of 13 national and 25 regional radio stations; a large number of private radio broadcasters and access to Internet radio |
| Internet country code: | .fi |
| Internet country code: | Â  |
| Internet country code: | note - Aland Islands assigned .ax |
| Internet users: | total: 4,922,163 |
| Internet users: | percent of population: 88.89% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1.737 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 31 (2018 est.) |
