| Communications | FINLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 457,300 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2016 est.) |
| Telephones - mobile cellular: | total: 7,366,100 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 134 (July 2016 est.) |
| Telephone system: | general assessment: modern system with excellent service |
| Telephone system: | domestic: digital fiber-optic, fixed-line network and an extensive mobile-cellular network provide domestic needs |
| Telephone system: | international: country code - 358; submarine cables provide links to Estonia and Sweden; satellite earth stations - access to Intelsat transmission service via a Swedish satellite earth station, 1 Inmarsat (Atlantic and Indian Ocean regions); note - Finland shares the Inmarsat earth station with the other Nordic countries (Denmark, Iceland, Norway, and Sweden) (2015) |
| Broadcast media: | a mix of 3 publicly operated TV stations and numerous privately owned TV stations; several free and special-interest pay-TV channels; cable and satellite multi-channel subscription services are available; all TV signals are broadcast digitally; Internet television, such as Netflix and others, is available; public broadcasting maintains a network of 13 national and 25 regional radio stations; a large number of private radio broadcasters and access to Internet radio (2017) |
| Internet country code: | .fi; note - Aland Islands assigned .ax |
| Internet users: | total: 4,822,132 |
| Internet users: | percent of population: 87.7% (July 2016 est.) |
