| Communications | LIBERIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,834,600 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 89 (July 2016 est.) |
| Telephone system: | general assessment: the limited services available are found almost exclusively in the capital, Monrovia; fixed-line service stagnant and extremely limited; telephone coverage extended to a number of other towns and rural areas by four mobile-cellular network operators |
| Telephone system: | domestic: mobile-cellular subscription base growing and teledensity approached 90 per 100 persons in 2016 |
| Telephone system: | international: country code - 231; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 8 private and 1 government-owned TV station; satellite TV service available; 1 state-owned radio station; 19 independent radio stations broadcasting in Monrovia, with another 77 local stations operating in other areas; transmissions of 4 international broadcasters are available (2017) |
| Internet country code: | .lr |
| Internet users: | total: 314,717 |
| Internet users: | percent of population: 7.3% (July 2016 est.) |
