| Communications | Niger |
| --- | --- |
| Telephones - main lines in use: | 24,000 (2008) |
| Telephones - mobile cellular: | 1.677 million (2008) |
| Telephone system: | general assessment: inadequate; small system of wire, radio telephone communications, and microwave radio relay links concentrated in the southwestern area of Niger |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity only 13 per 100 persons with cellular subscribership increasing rapidly from a small base; domestic satellite system with 3 earth stations and 1 planned |
| Telephone system: | international: country code - 227; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2008) |
| Radio broadcast stations: | AM 5, FM 6, shortwave 4 (2001) |
| Television broadcast stations: | 5 (2007) |
| Internet country code: | .ne |
| Internet hosts: | 253 (2009) |
| Internet users: | 80,000 (2008) |
