| Communications | Ethiopia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,095,946 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.04 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 38,147,361 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 36.2 (2019 est.) |
| Telecommunication systems: | general assessment: Ethio Telecom maintained a monopoly over telecommunication services until recently and isÂ now part-private;Â new expansion of LTE services;Â in 2019Â govt. approved legislations which opened the market to competition and provides much needed foreign investment; one of the tech companies is Chinese company Huawei; govt. reduces tariffs by up to 50% in 2018, the result is an increase in data and voice traffic; govt. launches mobile app as part of e-govt initiative to build techÂ city (2020) |
| Telecommunication systems: | domestic: fixed-line subscriptions at 1 per 100 while mobile-cellular stands at 36 per 100; the number of mobile telephones is increasing steadily (2019) |
| Telecommunication systems: | international: country code - 251; open-wire to Sudan and Djibouti; microwave radio relay to Kenya and Djibouti; 2 domestic satellites provide the national trunk service; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Pacific Ocean) (2016) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 6 public TV stations broadcasting nationally and 10 public radio broadcasters; 7 private radio stations and 19 community radio stations (2017) |
| Internet country code: | .et |
| Internet users: | total: 19,118,470 |
| Internet users: | percent of population: 18.62% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 580,120 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
