| Communications | AUSTRIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,609,900 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2015 est.) |
| Telephones - mobile cellular: | total: 13.471 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 155 (July 2015 est.) |
| Telephone system: | general assessment: highly developed and efficient |
| Telephone system: | domestic: fixed-line subscribership has been in decline since the mid-1990s with mobile-cellular subscribership eclipsing it by the late 1990s; the fiber-optic net is very extensive; all telephone applications and Internet services are available; broadband is available in major cities |
| Telephone system: | international: country code - 43; earth stations available in the Intelsat, Eutelsat satellite systems (2016) |
| Broadcast media: | worldwide cable and satellite TV are available; the public incumbent ORF competes with three other major, several regional domestic, and up to 400 international TV stations; TV coverage is in principle 100%, but only 90% use broadcast media; Internet streaming not only complements, but increasingly replaces regular TV stations (2016) |
| Internet country code: | .at |
| Internet users: | total: 7.273 million |
| Internet users: | percent of population: 83.9% (July 2015 est.) |
