| Communications | Burkina Faso |
| --- | --- |
| Telephones - main lines in use: | 144,000 (2010) |
| Telephones - mobile cellular: | 5.708 million (2010) |
| Telephone system: | general assessment: system includes microwave radio relay, open-wire, and radiotelephone communication stations; in 2006 the government sold a 51 percent stake in the national telephone company and ultimately plans to retain only a 23 percent stake in the company |
| Telephone system: | domestic: fixed-line connections stand at less than 1 per 100 persons; mobile-cellular usage, fostered by multiple providers, is increasing rapidly from a low base |
| Telephone system: | international: country code - 226; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | 2 TV stations - 1 state-owned and 1 privately-owned; state-owned radio runs a national and regional network; substantial number of privately-owned radio broadcast stations; transmissions of several international broadcasters available in Ouagadougou (2007) |
| Internet country code: | .bf |
| Internet hosts: | 1,877 (2010) |
| Internet users: | 178,100 (2009) |
