| Communications | Namibia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 193,125 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,647,853 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107 (2017 est.) |
| Telephone system: | general assessment: good system; core fiber-optic network links most centers with digital connections; 3G and LTE services; Internet and broadband sector fairly competitive; infrastructure investment through 2021 (2018) |
| Telephone system: | domestic: fixed-line still a government monopoly with plans to open to competion soon; multiple mobile-cellular providers; fixed-line subscribership of 8 per 100 and mobile-cellularÂ 107 per 100Â persons (2018) |
| Telephone system: | international: country code - 264;Â landing points for the ACE and WACSÂ fiber-optic submarine cable linking southern and western African countries to Europe; satellite earth stations - 4 Intelsat (2019) |
| Broadcast media: | 1 private and 1 state-run TV station; satellite and cable TV service available; state-run radio service broadcasts in multiple languages; about a dozen private radio stations; transmissions of multiple international broadcasters available |
| Internet country code: | .na |
| Internet users: | total: 756,118 |
| Internet users: | percent of population: 31% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 63,894 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
