| Communications | Gibraltar |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 14,865 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 50.35 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 35,510 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120.28 (2019 est.) |
| Telecommunication systems: | general assessment: adequate, automatic domestic system and adequate international facilities (2018) |
| Telecommunication systems: | domestic: automatic exchange facilities; 50 per 100 fixed-line and 120 per 100 mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 350; landing point for the EIG to Europe, Asia, Africa and the Middle East via submarine cables;Â radiotelephone; microwave radio relay; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | Gibraltar Broadcasting Corporation (GBC) provides TV and radio broadcasting services via 1 TV station and 4 radio stations; British Forces Broadcasting Service (BFBS) operates 1 radio station; broadcasts from Spanish radio and TV stations are accessible |
| Internet country code: | .gi |
| Internet users: | total: 27,823 |
| Internet users: | percent of population: 94.44% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 19,232 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 65 (2018 est.) |
