| Communications | Greenland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,259 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.59 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 66,009 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 114.48 (2019 est.) |
| Telecommunication systems: | general assessment: adequate domestic and international service provided by satellite, cables, and microwave radio relay; the fundamental telecommunications infrastructure consists of a digital radio link from Nanortalik in south Greenland to Uummannaq in north Greenland; satellites cover north and east Greenland for domestic and foreign telecommunications; a marine cable connects south and west Greenland to the rest of the world, extending from Nuuk and Qaqortoq to Canada and Iceland (2018) |
| Telecommunication systems: | domestic: 13 per 100 for fixed-line subscriptions and 115 per 100 for mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 299; landing points for Greenland Connect, Greenland Connect North, Nunavut Undersea Fiber System submarine cables to Greenland, Iceland, and Canada;Â satellite earth stations - 15 (12 Intelsat, 1 Eutelsat, 2 Americom GE-2 (all Atlantic Ocean)) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the Greenland Broadcasting Company provides public radio and TV services throughout the island with a broadcast station and a series of repeaters; a few private local TV and radio stations; Danish public radio rebroadcasts are available (2019) |
| Internet country code: | .gl |
| Internet users: | total: 40,084 |
| Internet users: | percent of population: 69.48% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 13,192 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 23 (2018 est.) |
