| Communications | TOKELAU |
| --- | --- |
| Telephone system: | general assessment: modern satellite-based communications system |
| Telephone system: | domestic: radiotelephone service between islands |
| Telephone system: | international: country code - 690; radiotelephone service to Samoa; government-regulated telephone service (TeleTok); satellite earth stations - 3 (2009) |
| Broadcast media: | no TV stations; each atoll operates a radio service that provides shipping news and weather reports (2009) |
| Radio broadcast stations: | AM NA, FM NA, shortwave NA (one radio station provides service to all islands) (2002) |
| Internet country code: | .tk |
| Internet users: | total: 800 |
| Internet users: | percent of population: 55.4% (2008) |
