| Communications | Moldova |
| --- | --- |
| Telephones - main lines in use: | 1.206 million (2012) |
| Telephones - mobile cellular: | 4.08 million (2012) |
| Telephone system: | general assessment: poor service outside Chisinau; some modernization is under way |
| Telephone system: | domestic: multiple private operators of GSM mobile-cellular telephone service are operating; GPRS system is being introduced; a CDMA mobile telephone network began operations in 2007; combined fixed-line and mobile-cellular teledensity 100 per 100 persons |
| Telephone system: | international: country code - 373; service through Romania and Russia via landline; satellite earth stations - at least 3 (Intelsat, Eutelsat, and Intersputnik) (2011) |
| Broadcast media: | state-owned national radio-TV broadcaster operates 2 TV and 2 radio stations; a total of nearly 40 terrestrial TV channels and some 50 radio stations are in operation; Russian and Romanian channels also are available (2007) |
| Internet country code: | .md |
| Internet hosts: | 711,564 (2012) |
| Internet users: | 1.333 million (2009) |
