| Communications | MOLDOVA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,202,466 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.713 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (July 2015 est.) |
| Telephone system: | general assessment: the mobile market has extended the reach of service to outside the cities and across most of the country |
| Telephone system: | domestic: competition among mobile telephone providers has spurred subscriptions; little interest in expanding fixed-line service; mobile-cellular teledensity exceeds 100 per 100 persons |
| Telephone system: | international: country code - 373; service through Romania and Russia via landline; satellite earth stations - at least 3 (Intelsat, Eutelsat, and Intersputnik) (2015) |
| Broadcast media: | state-owned national radio-TV broadcaster operates 1 TV and 1 radio stations; a total of nearly 70 terrestrial TV channels and some 50 radio stations are in operation; Russian and Romanian channels also are available (2016) |
| Internet country code: | .md |
| Internet users: | total: 1.768 million |
| Internet users: | percent of population: 49.8% (July 2015 est.) |
