| Communications | Monaco |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 47,013 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 153 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 32,978 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 108 (2017 est.) |
| Telephone system: | general assessment: modern automatic telephone system; the country's sole fixed-line operator offers a full range of services to residential and business customers; competitive mobile telephony market (2018) |
| Telephone system: | domestic: fixed-line 153 per 100 and mobile-cellular teledensity exceedsÂ 108 per 100 persons (2018) |
| Telephone system: | international: country code - 377; landing points for the EIG and Italy-Monaco submarine cables connecting Monaco to Europe, Africa, the Middle East and Asia; no satellite earth stations; connected by cable into the French communications system (2019) |
| Broadcast media: | TV Monte-Carlo operates a TV network; cable TV available; Radio Monte-Carlo has extensive radio networks in France and Italy with French-language broadcasts to France beginning in the 1960s and Italian-language broadcasts to Italy beginning in the 1970s; other radio stations include Riviera Radio and Radio Monaco |
| Internet country code: | .mc |
| Internet users: | total: 29,116 |
| Internet users: | percent of population: 95.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 19,258 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 63 (2017 est.) |
