| Communications | Monaco |
| --- | --- |
| Telephones - main lines in use: | 35,400 (2009) |
| Telephones - mobile cellular: | 23,000 (2009) |
| Telephone system: | general assessment: modern automatic telephone system; the country's sole fixed line operator offers a full range of services to residential and business customers |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 100% |
| Telephone system: | international: country code - 377; no satellite earth stations; connected by cable into the French communications system |
| Broadcast media: | TV Monte-Carlo (TMC) operates a TV network; Radio Monte-Carlo has both an Italian-language and a French-language network; a few private radio stations operating (2008) |
| Internet country code: | .mc |
| Internet hosts: | 23,621 (2010) |
| Internet users: | 23,000 (2009) |
