| Communications | Slovakia |
| --- | --- |
| Telephones - main lines in use: | 1.098 million (2008) |
| Telephones - mobile cellular: | 5.52 million (2008) |
| Telephone system: | general assessment: Slovakia has a modern telecommunications system that has expanded dramatically in recent years with the growth in cellular services |
| Telephone system: | domestic: analog system is now receiving digital equipment and is being enlarged with fiber-optic cable, especially in the larger cities; 3 companies provide nationwide cellular services |
| Telephone system: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services |
| Radio broadcast stations: | AM 1, FM 22, shortwave 1 (2008) |
| Television broadcast stations: | 37 (2008) |
| Internet country code: | .sk |
| Internet hosts: | 867,615 (2009) |
| Internet users: | 3.566 million (2008) |
