| Communications | European Union |
| --- | --- |
| Telephones - main lines in use: | 238,763,162 (2002) |
| Telephones - mobile cellular: | 314,644,700 (2002) |
| Telephone system: | note - see individual country entries of member states |
| Radio broadcast stations: | AM 866, FM 13,396, shortwave 73 (1998); note - sum of individual country radio broadcast stations; there is also a European-wide station (Euroradio) |
| Television broadcast stations: | 2,791 (1995); note - does not include repeaters; sum of individual country television broadcast stations; there is also a European-wide station (Eurovision) |
| Internet country code: | .eu (effective 2005); note - see country entries of member states for individual country codes |
| Internet hosts: | 22,000,414 (2004); note - sum of individual country Internet hosts |
| Internet users: | 239,881,917 (2006) |
