| Communications | Saint Lucia |
| --- | --- |
| Telephones - main lines in use: | 41,100 (2010) |
| Telephones - mobile cellular: | 179,300 (2010) |
| Telephone system: | general assessment: an adequate system that is automatically switched |
| Telephone system: | domestic: fixed-line teledensity is 25 per 100 persons and mobile-cellular teledensity is roughly 110 per 100 persons |
| Telephone system: | international: country code - 1-758; the East Caribbean Fiber Optic System (ECFS) and Southern Caribbean fiber optic system (SCF) submarine cables, along with Intelsat from Martinique, carry calls internationally; direct microwave radio relay link with Martinique and Saint Vincent and the Grenadines; tropospheric scatter to Barbados |
| Broadcast media: | 3 privately-owned television stations; 1 public television station operating on a cable network; multi-channel cable TV service is obtainable; a mix of state-owned and privately-owned broadcasters operate nearly 25 radio stations including repeater transmission stations (2007) |
| Internet country code: | .lc |
| Internet hosts: | 106 (2010) |
| Internet users: | 142,900 (2009) |
