| Communications | Ghana |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 272,801 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 38,571,189 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 134.32 (2019 est.) |
| Telecommunication systems: | general assessment: highly competitiveÂ Internet market; govt. helped fund programsÂ for telecom services nationally; mobile accounts forÂ how peopleÂ access the Internet; LTE service launched in 2019; theÂ government invested in fiber infrastructure and set up 600 additional towers to provideÂ basic mobile services; m-money inter-operability launched;Â internationalÂ submarine cables and new terrestrial cables have improved Internet capacity and reduced price for end-users;Â one of the most active mobile markets in Africa (2020) |
| Telecommunication systems: | domestic: fixed-line 1 per 100 subscriptions; competition among multiple mobile-cellular providers has spurred growth with a subscribership of more than 134 per 100 persons and rising (2019) |
| Telecommunication systems: | international: country code - 233; landing points for the SAT-3/WASC, MainOne, ACE, WACS and GLO-1 fiber-optic submarine cables that provide connectivity to South and West Africa, and Europe; satellite earth stations - 4 Intelsat (Atlantic Ocean); microwave radio relay link to Panaftel system connects Ghana to its neighbors; Ghana-1 satellite launched in 2020 (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned TV station, 2 state-owned radio networks; several privately owned TV stations and a large number of privately owned radio stations; transmissions of multiple international broadcasters are accessible; several cable and satellite TV subscription services are obtainable |
| Internet country code: | .gh |
| Internet users: | total: 10,959,964 |
| Internet users: | percent of population: 39% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 62,320 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
