| Communications | United States |
| --- | --- |
| Telephones - main lines in use: | 150 million (2008) |
| Telephones - mobile cellular: | 270 million (2008) |
| Telephone system: | general assessment: a large, technologically advanced, multipurpose communications system |
| Telephone system: | domestic: a large system of fiber-optic cable, microwave radio relay, coaxial cable, and domestic satellites carries every form of telephone traffic; a rapidly growing cellular system carries mobile telephone traffic throughout the country |
| Telephone system: | international: country code - 1; multiple ocean cable systems provide international connectivity; satellite earth stations - 61 Intelsat (45 Atlantic Ocean and 16 Pacific Ocean), 5 Intersputnik (Atlantic Ocean region), and 4 Inmarsat (Pacific and Atlantic Ocean regions) (2000) |
| Radio broadcast stations: | AM 4,789, FM 8,961, shortwave 19 (2006) |
| Television broadcast stations: | 2,218 (2006) |
| Internet country code: | .us |
| Internet hosts: | 383 million (2009); note - the US Internet total host count includes the following top level domain host addresses: .us, .com, .edu, .gov, .mil, .net, and .org |
| Internet users: | 231 million (2008) |
