| Communications | Paraguay |
| --- | --- |
| Telephones - main lines in use: | 387,300 (2009) |
| Telephones - mobile cellular: | 5.619 million (2009) |
| Telephone system: | general assessment: the fixed-line market is a state monopoly and fixed-line telephone service is meager; principal switching center is in Asuncion |
| Telephone system: | domestic: deficiencies in provision of fixed-line service have resulted in a rapid expansion of mobile-cellular services fostered by competition among multiple providers |
| Telephone system: | international: country code - 595; satellite earth station - 1 Intelsat (Atlantic Ocean) (2008) |
| Broadcast media: | 5 privately-owned TV stations; about 75 commercial and community radio stations broadcasting; 1 state-owned radio network (2007) |
| Internet country code: | .py |
| Internet hosts: | 167,281 (2010) |
| Internet users: | 1.105 million (2009) |
