| Communications | KAZAKHSTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,143,100 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 23 (July 2015 est.) |
| Telephones - mobile cellular: | total: 31.39 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 173 (July 2015 est.) |
| Telephone system: | general assessment: inherited an outdated telecommunications network from the Soviet era requiring modernization |
| Telephone system: | domestic: intercity by landline and microwave radio relay; number of fixed-line connections is inadequate; mobile-cellular usage has increased rapidly and the subscriber base now exceeds 170 per 100 persons |
| Telephone system: | international: country code - 7; international traffic with other former Soviet republics and China carried by landline and microwave radio relay and with other countries by satellite and by the Trans-Asia-Europe (TAE) fiber-optic cable; satellite earth stations - 2 Intelsat (2015) |
| Broadcast media: | state owns nearly all radio and TV transmission facilities and operates national TV and radio networks; nearly all nationwide TV networks are wholly or partly owned by the government; some former state-owned media outlets have been privatized; households with satellite dishes have access to foreign media; a small number of commercial radio stations operate along with state-run radio stations; recent legislation requires all media outlets to register with the government and all TV providers to broadcast in digital format by 2018 (2015) |
| Internet country code: | .kz |
| Internet users: | total: 13.23 million |
| Internet users: | percent of population: 72.9% (July 2015 est.) |
