| Communications | Albania |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 247,010 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,497,950 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115 (2017 est.) |
| Telephone system: | general assessment: consistant with the region; offsetting theÂ deficit of fixed-line capacity, mobile-cellular phone service has been available since 1996; four companiesÂ presently providing mobile services and mobile teledensity; Internet broadband services initiated in 2005, and the penetration rate rose to over 65% by 2016; Internet cafes are popular in major urban areas; 1.3 million use mobile broadband services (3G/4G) (2017) |
| Telephone system: | domestic: fixed-line 8 per 100, teledensity continues to decline due to heavy use of mobile-cellular telephone services; mobile-cellular telephone use is widespread and generally effective, 115 per 100 forÂ mobile-cellular (2017) |
| Telephone system: | international: country code - 355; submarine cable provides connectivity to Italy, Croatia, and Greece; the Trans-Balkan Line, a combination submarine cable and land fiber-optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2016) |
| Broadcast media: | Albania has more than 65 TV stations, including several that broadcast nationally; Albanian TV broadcasts are also available to Albanian-speaking populations in neighboring countries; many viewers have access to Italian and Greek TV broadcasts via terrestrial reception; Albania's TV stations have begun a government-mandated conversion from analog to digital broadcast; the government has pledged to provide analog-to-digital converters to low-income families affected by this decision; cable TV service is available; 2 public radio networks and roughly 78 private radio stations; several international broadcasters are available (2017) |
| Internet country code: | .al |
| Internet users: | total: 2,016,516 (July 2016 est.) |
| Internet users: | percent of population: 66.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 293,623 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 10 (2017 est.) |
