| Communications | Maldives |
| --- | --- |
| Telephones - main lines in use: | 50,396 (2009) |
| Telephones - mobile cellular: | 450,500 (2009) |
| Telephone system: | general assessment: telephone services have improved; each island now has at least 1 public telephone, and there are mobile cellular networks with a rapidly expanding subscribership that exceeds 100 per 100 persons |
| Telephone system: | domestic: interatoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2009) |
| Radio broadcast stations: | AM 1, FM 1, shortwave 1 (1998) |
| Television broadcast stations: | 1 (2006) |
| Internet country code: | .mv |
| Internet hosts: | 1,732 (2009) |
| Internet users: | 71,700 (2008) |
