| Communications | Portugal |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,179,685 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 50.15 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 12,028,436 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 116.46 (2019 est.) |
| Telecommunication systems: | general assessment: telephone system has a state-of-the-art network with broadband, high-speed capabilities; FttPÂ in 2020; 3GÂ universal and 4G upgrades;Â regulator release 700MHz spectrum for 5G use;Â DSL moves to fiber services; FttP for over 5 million customers in 2020 providing national coverage; fiber subscriber base grows 24% in 2018; development in M-payment solutions (2020) |
| Telecommunication systems: | domestic: integrated network of coaxial cables, open-wire, microwave radio relay, and domestic satellite earth stations; fixed-line 50 per 100 persons and mobile-cellular 116 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 351;Â landing points for the Ella Link, BUGIO, EIG, SAT-3/WASC, SeaMeWe-3, Equino, MainOne, Tat TGN-Western Europe, WACS, ACE, Atlantis2 and Columbus-IIIÂ submarine cables provide connectivity to Europe, Africa, the Middle East, Asia, Southeast Asia, Australia, South AmericaÂ and the US; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to Azores (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Radio e Televisao de Portugal (RTP), the publicly owned TV broadcaster, operates 4 domestic channels and external service channels to Africa; overall, roughly 40 domestic TV stations; viewers have widespread access to international broadcasters with more than half of all households connected to multi-channel cable or satellite TV systems; publicly owned radio operates 3 national networks and provides regional and external services; several privately owned national radio stations and some 300 regional and local commercial radio stations |
| Internet country code: | .pt |
| Internet users: | total: 7,731,411 |
| Internet users: | percent of population: 74.66% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,784,684 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 37 (2018 est.) |
