| Communications | Portugal |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,831,022 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 45 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 11,764,106 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (2017 est.) |
| Telephone system: | general assessment: Portugal's telephone system has a state-of-the-art network with broadband, high-speed capabilities (2015) |
| Telephone system: | domestic: integrated network of coaxial cables, open-wire, microwave radio relay, and domestic satellite earth stations (2015) |
| Telephone system: | international: country code - 351; a combination of submarine cables provide connectivity to Europe, North and East Africa, South Africa, the Middle East, Asia, and the US; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to Azores (2015) |
| Broadcast media: | Radio e Televisao de Portugal (RTP), the publicly owned TV broadcaster, operates 4 domestic channels and external service channels to Africa; overall, roughly 40 domestic TV stations; viewers have widespread access to international broadcasters with more than half of all households connected to multi-channel cable or satellite TV systems; publicly owned radio operates 3 national networks and provides regional and external services; several privately owned national radio stations and some 300 regional and local commercial radio stations (2014) |
| Internet country code: | .pt |
| Internet users: | total: 7,629,560 (July 2016 est.) |
| Internet users: | percent of population: 70.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,574,047 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 33 (2017 est.) |
