| Communications | Tunisia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,444,631 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.43 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 14,679,917 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126.31 (2019 est.) |
| Telecommunication systems: | general assessment: above the African average and continuing to be upgraded; key centers are Sfax, Sousse, Bizerte, and Tunis; telephone network is completely digitized; Internet access available throughout the country; penetration rates for mobile and Internet services are among the highest in the region;Â 3 MNOs (mobile network operator); government Internet censorshipÂ abolished in 2013; telecom invests in LTE network and fiber infrastructure with FttP (fiber to the premises) services; 5G license expected to be launched soon; auction of spectrum in the 800MHz band loT (location of Things) and mobile services; use of Chinese company Huawei to develop LTE network (2020) |
| Telecommunication systems: | domestic: in an effort to jumpstart expansion of the fixed-line network, the government awarded a concession to build and operate a VSAT network with international connectivity; rural areas are served by wireless local loops; competition between several mobile-cellular service providers has resulted in lower activation and usage charges and a strong surge in subscribership; fixed-line is 12 per 100 and mobile-cellular teledensity has reached about 126 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 216; landing points for the SEA-ME-WE-4, Didon, HANNIBAL System and Trapani-KelibiaÂ submarine cable systems that provides links to Europe, Africa, the Middle East, Asia and Southeast Asia; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Arabsat; coaxial cable and microwave radio relay to Algeria and Libya; participant in Medarabtel; 2 international gateway digital switches (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 state-owned TV station with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with 2 stations (in Lome and Kara); several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2019) |
| Internet country code: | .tn |
| Internet users: | total: 7,392,242 |
| Internet users: | percent of population: 64.19% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,014,395 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2018 est.) |
