| Communications | Australia |
| --- | --- |
| Telephones - main lines in use: | 8.66 million (2010) |
| Telephones - mobile cellular: | 22.5 million (2010) |
| Telephone system: | general assessment: excellent domestic and international service |
| Telephone system: | domestic: domestic satellite system; significant use of radiotelephone in areas of low population density; rapid growth of mobile telephones |
| Telephone system: | international: country code - 61; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable with links to Asia, the Middle East, and Europe; the Southern Cross fiber optic submarine cable provides links to New Zealand and the United States; satellite earth stations - 19 (10 Intelsat - 4 Indian Ocean and 6 Pacific Ocean, 2 Inmarsat - Indian and Pacific Ocean regions, 2 Globalstar, 5 other) (2007) |
| Broadcast media: | the Australian Broadcasting Corporation (ABC) runs multiple national and local radio networks and TV stations, as well as Australia Network, a TV service that broadcasts throughout the Asia-Pacific region and is the main public broadcaster; Special Broadcasting Service (SBS), a second large public broadcaster, operates radio and TV networks broadcasting in multiple languages; several large national commercial TV networks, a large number of local commercial TV stations, and hundreds of commercial radio stations are accessible; cable and satellite systems are available (2008) |
| Internet country code: | .au |
| Internet hosts: | 13.361 million (2010) |
| Internet users: | 15.81 million (2009) |
