| Communications | Guernsey |
| --- | --- |
| Telephones - main lines in use: | 45,100 (2010) |
| Telephones - mobile cellular: | 43,800 (2004) |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available; combined fixed and mobile-cellular teledensity exceeds 100 per 100 persons |
| Telephone system: | international: country code - 44; 1 submarine cable (2011) |
| Broadcast media: | multiple UK terrestrial TV broadcasts are received via a transmitter in Jersey with relays in Jersey, Guernsey, and Alderney; satellite packages are available; BBC Radio Guernsey and 1 other radio station operating (2009) |
| Internet country code: | .gg |
| Internet hosts: | 239 (2012) |
| Internet users: | 48,300 (2009) |
