| Communications | Azerbaijan |
| --- | --- |
| Telephones - main lines in use: | 1.684 million (2011) |
| Telephones - mobile cellular: | 10.12 million (2011) |
| Telephone system: | general assessment: requires considerable expansion and modernization; fixed-line telephony and a broad range of other telecom services are controlled by a state-owned telecommunications monopoly and growth has been stagnant; more competition exists in the mobile-cellular market with four providers in 2009 |
| Telephone system: | domestic: teledensity of 17 fixed lines per 100 persons; mobile-cellular teledensity has increased and now exceeds 100 telephones per 100 persons; satellite service connects Baku to a modern switch in its exclave of Nakhchivan |
| Telephone system: | international: country code - 994; the Trans-Asia-Europe (TAE) fiber-optic link transits Azerbaijan providing international connectivity to neighboring countries; the old Soviet system of cable and microwave is still serviceable; satellite earth stations - 2 (2011) |
| Broadcast media: | 3 state-run and 1 public TV channels; 4 domestic commercial TV stations and about 15 regional TV stations; cable TV services are available in Baku; 1 state-run and 1 public radio network operating; a small number of private commercial radio stations broadcasting; local FM relays of Baku commercial stations are available in many localities; local relays of several international broadcasters had been available until late 2008 when their broadcasts were banned from FM frequencies (2010) |
| Internet country code: | .az |
| Internet hosts: | 46,856 (2012) |
| Internet users: | 2.42 million (2009) |
