| Communications | El Salvador |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 677,599 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 9,982,186 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 162 (2017 est.) |
| Telephone system: | general assessment: multiple mobile-cellular began rolling out Long Term Evolution (LTE) data services in late-2016; Internet usage grew almost 400% between 2007 and 2015; 6% of phones are fixed while 94% are mobile (2017) |
| Telephone system: | domestic: nationwide microwave radio relay system; growth in fixed-line services 11 per 100, has slowed in the face of mobile-cellular competitionatÂ at 162 per 100 (2017) |
| Telephone system: | international: country code - 503; satellite earth station - 1 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2017) |
| Broadcast media: | multiple privately owned national terrestrial TV networks, supplemented by cable TV networks that carry international channels; hundreds of commercial radio broadcast stations and 1 government-owned radio broadcast station; transition to digital transmission to begin in 2018 along with adaptation of the Japanese-Brazilian Digital Standard (ISDB-T) (2017) |
| Internet country code: | .sv |
| Internet users: | total: 1,785,254 (July 2016 est.) |
| Internet users: | percent of population: 29% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 442,727 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 7 (2017 est.) |
