| Communications | Kyrgyzstan |
| --- | --- |
| Telephones - main lines in use: | 494,500 (2008) |
| Telephones - mobile cellular: | 3.394 million (2008) |
| Telephone system: | general assessment: telecommunications infrastructure is being upgraded; loans from the European Bank for Reconstruction and Development (EBRD) are being used to install a digital network, digital radio-relay stations, and fiber-optic links |
| Telephone system: | domestic: fixed line penetration remains low and concentrated in urban areas; multiple mobile cellular service providers with growing coverage; mobile cellular subscribership exceeded 60 per 100 persons in 2008 |
| Telephone system: | international: country code - 996; connections with other CIS countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 2 (1 Intersputnik, 1 Intelsat); connected internationally by the Trans-Asia-Europe (TAE) fiber-optic line (2008) |
| Radio broadcast stations: | AM 3 (plus 10 repeater stations), FM 23, shortwave NA (2007) |
| Television broadcast stations: | 8 (2 countrywide and 6 regional stations; state-owned); note - there are about 20 private TV stations, most of which rebroadcast other channels (2007) |
| Internet country code: | .kg |
| Internet hosts: | 82,496 (2009) |
| Internet users: | 850,000 (2008) |
