| Communications | KYRGYZSTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 440,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (2014 est.) |
| Telephones - mobile cellular: | total: 7.6 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135 (2014 est.) |
| Telephone system: | general assessment: telecommunications infrastructure is being upgraded; loans from the European Bank for Reconstruction and Development (EBRD) are being used to install a digital network, digital radio-relay stations, and fiber-optic links |
| Telephone system: | domestic: fixed-line penetration remains low and concentrated in urban areas; multiple mobile-cellular service providers with growing coverage; mobile-cellular subscribership was about 115 per 100 persons in 2011 |
| Telephone system: | international: country code - 996; connections with other CIS countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 2 (1 Intersputnik, 1 Intelsat); connected internationally by the Trans-Asia-Europe (TAE) fiber-optic line (2011) |
| Broadcast media: | state-run TV broadcaster operates 2 nationwide networks and 6 regional stations; roughly 20 private TV stations operating with most rebroadcasting other channels; state-run radio broadcaster operates 2 networks; about 20 private radio stations (2007) |
| Radio broadcast stations: | AM 3 (plus 10 repeater stations), FM 23, shortwave 2 (2009) |
| Television broadcast stations: | 8 (2 countrywide and 6 regional stations; state-owned); note - there are about 20 private TV stations, most of which rebroadcast other channels (2007) |
| Internet country code: | .kg |
| Internet users: | total: 1.4 million |
| Internet users: | percent of population: 24.2% (2014 est.) |
