| Communications | MONGOLIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 255,634 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 9 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.068 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 103 (July 2015 est.) |
| Telephone system: | general assessment: network is improving with international direct dialing available in many areas; a fiber-optic network has been installed that is improving broadband and communication services between major urban centers with multiple companies providing inter-city fiber-optic cable services |
| Telephone system: | domestic: very low fixed-line teledensity; there are multiple mobile-cellular providers and subscribership is increasing |
| Telephone system: | international: country code - 976; satellite earth stations - 7 (2015) |
| Broadcast media: | following a law passed in 2005, Mongolia's state-run radio and TV provider converted to a public service provider; also available are private radio and TV broadcasters, as well as multi-channel satellite and cable TV providers; more than 100 radio stations, including some 20 via repeaters for the public broadcaster; transmissions of multiple international broadcasters are available (2008) |
| Internet country code: | .mn |
| Internet users: | total: 642,000 |
| Internet users: | percent of population: 21.4% (July 2015 est.) |
