| Communications | Serbia |
| --- | --- |
| Telephones - main lines in use: | 3.11 million (2010) |
| Telephones - mobile cellular: | 9.915 million (2010) |
| Telephone system: | general assessment: replacements of, and upgrades to, telecommunications equipment damaged during the 1999 war has resulted in a modern telecommunications system more than 95% digitalized in 2009 |
| Telephone system: | domestic: wireless service, available through multiple providers with national coverage, is growing very rapidly; best telecommunications services are centered in urban centers; 3G mobile network launched in 2007 |
| Telephone system: | international: country code - 381 (2009) |
| Internet country code: | .rs |
| Internet hosts: | 528,253 (2010) |
| Internet users: | 4.107 million (2009) |
