| Communications | Antigua and Barbuda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 24,403 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 25.15 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 187,095 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 192.82 (2019 est.) |
| Telecommunication systems: | general assessment: good automatic telephone system with fiber-optic lines; telecom sector contributes heavily to GDP; numerous mobile network competitors licensed, but small and local; govt. to spend EC80 million in 2019 to improve state-owned telecom market competitiveness; legislative amendments extend jurisdiction of its telecom regulator in Barbuda to include mobile services (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity roughly 25 per 100 persons; mobile-cellular teledensity is about 193 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-268; landing points for the ECFS andÂ Southern Caribbean FiberÂ submarine cable systems with links to other islands in the eastern Caribbean; satellite earth stationsÂ - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; ABS operates 1 radio station; roughly 15 radio stations, some broadcasting on multiple frequencies |
| Internet country code: | .ag |
| Internet users: | total: 72,870 |
| Internet users: | percent of population: 76% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 9,261 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 10 (2017 est.) |
