| Communications | Oman |
| --- | --- |
| Telephones - main lines in use: | 274,200 (2008) |
| Telephones - mobile cellular: | 3.219 million (2008) |
| Telephone system: | general assessment: modern system consisting of open-wire, microwave, and radiotelephone communication stations; limited coaxial cable |
| Telephone system: | domestic: fixed-line phone service gradually being introduced to remote villages using wireless local loop systems; fixed-line and mobile-cellular subscribership both increasing; open-wire, microwave, radiotelephone communications, and a domestic satellite system with 8 earth stations |
| Telephone system: | international: country code - 968; the Fiber-Optic Link Around the Globe (FLAG) and the SEA-ME-WE-3 submarine cable provide connectivity to Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (Indian Ocean), 1 Arabsat (2007) |
| Radio broadcast stations: | AM 3, FM 9, shortwave 2 (1999) |
| Television broadcast stations: | 13 (plus 25 repeaters) (1999) |
| Internet country code: | .om |
| Internet hosts: | 6,346 (2009) |
| Internet users: | 465,000 (2008) |
