| Communications | Guernsey |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 36,547 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 60 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 71,249 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (July 2016 est.) |
| Telephone system: | general assessment: high performance global connections with quality service; connections to major cities around the world to rival and attract future investment and future needs of islanders and businesses (2018) |
| Telephone system: | domestic: fixed-line 60 per 100 and mobile-cellular 113 per 100 persons (2018) |
| Telephone system: | international: country code - 44;Â landing points for Guernsey-Jersey, HUGO, INGRID, Channel Islands -9 LibertyÂ and UK-Channel Islands-7Â submarine cable to UK andÂ France (2019) |
| Broadcast media: | multiple UK terrestrial TV broadcasts are received via a transmitter in Jersey with relays in Jersey, Guernsey, and Alderney; satellite packages are available; BBC Radio Guernsey and 1 other radio station operating |
| Internet country code: | .gg |
| Internet users: | total: 55,050 |
| Internet users: | percent of population: 83.3% (July 2016 est.) |
