| Communications | ETHIOPIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 820,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 30.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 32 (2014 est.) |
| Telephone system: | general assessment: inadequate telephone system with the Ethio Telecom maintaining a monopoly over telecommunication services; open-wire, microwave radio relay; radio communication in the HF, VHF, and UHF frequencies; 2 domestic satellites provide the national trunk service |
| Telephone system: | domestic: the number of fixed lines and mobile telephones is increasing from a small base; combined fixed-line and mobile-cellular teledensity is roughly 15 per 100 persons |
| Telephone system: | international: country code - 251; open-wire to Sudan and Djibouti; microwave radio relay to Kenya and Djibouti; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Pacific Ocean) (2011) |
| Broadcast media: | 1 public TV station broadcasting nationally and 1 public radio broadcaster with stations in each of the 13 administrative districts; a few commercial radio stations and roughly a dozen community radio stations (2009) |
| Radio broadcast stations: | AM 8, FM 0, shortwave 1 (2001) |
| Television broadcast stations: | 1 (plus 24 repeaters) (2001) |
| Internet country code: | .et |
| Internet users: | total: 1.6 million |
| Internet users: | percent of population: 1.7% (2014 est.) |
