| Communications | LITHUANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 530,871 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19 (July 2016 est.) |
| Telephones - mobile cellular: | total: 4,204,692 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 147 (July 2016 est.) |
| Telephone system: | general assessment: adequate; being modernized to provide improved international capability and better residential access |
| Telephone system: | domestic: rapid expansion of mobile-cellular services has resulted in a steady decline in the number of fixed-line connections; mobile-cellular teledensity stands at about 145 per 100 persons |
| Telephone system: | international: country code - 370; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite; landline connections to Latvia and Poland (2016) |
| Broadcast media: | public broadcaster operates 3 channels with the third channel - a satellite channel - introduced in 2007; various privately owned commercial TV broadcasters operate national and multiple regional channels; many privately owned local TV stations; multi-channel cable and satellite TV services available; publicly owned broadcaster operates 3 radio networks; many privately owned commercial broadcasters, with repeater stations in various regions throughout the country (2007) |
| Internet country code: | .lt |
| Internet users: | total: 2,122,884 |
| Internet users: | percent of population: 74.4% (July 2016 est.) |
