| Communications | New Caledonia |
| --- | --- |
| Telephones - main lines in use: | 80,000 (2012) |
| Telephones - mobile cellular: | 231,000 (2012) |
| Telephone system: | general assessment: a submarine cable network connection between New Caledonia and Australia, completed in 2007, increased network capacity and improved high-speed connectivity and access to international networks |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership exceeds 100 per 100 persons |
| Telephone system: | international: country code - 687; satellite earth station - 1 Intelsat (Pacific Ocean) (2010) |
| Broadcast media: | the publicly owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts over the RFO Nouvelle Caledonie TV and radio stations; a small number of privately owned radio stations also broadcast (2008) |
| Internet country code: | .nc |
| Internet hosts: | 34,231 (2012) |
| Internet users: | 85,000 (2009) |
