| Communications | New Caledonia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 82,111 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28.67 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 275,002 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 96.02 (2019 est.) |
| Telecommunication systems: | general assessment: well advanced telecoms sector; 3G & 4G network services; one of the highest smart phone adoption rates in the region; telecommunications sector is dominated by govt. owned company with a monopoly on fixed and mobile services, Internet and broadband access (2020) |
| Telecommunication systems: | domestic: fixed-line 29 per 100 and mobile-cellular telephone subscribership 96 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 687; landing points for the Gondwana-1 and Picot-1 providing connectivity via submarine cablesÂ around NewÂ Caledonia andÂ to Australia; satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the publicly owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts over the RFO Nouvelle-CalÃ©donie TV and radio stations; a small number of privately owned radio stations also broadcast |
| Internet country code: | .nc |
| Internet users: | total: 231,887 |
| Internet users: | percent of population: 82.01% (July 2018 est.) |
