| Communications | Turkey |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,283,768 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13.82 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 79,068,023 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 96.84 (2019 est.) |
| Telecommunication systems: | general assessment: comprehensive telecommunications network undergoing rapid modernization and expansion, especially in mobile-cellular services; rise in subscribers and increase in bundled packages; while mobile broadband becoming increasingly popular DSL has largest share of fixed broadband technologies, but fiber-optic is growing with significant investment; 4G LTE networks well incorporated in Turkey, 93% coverage of the population;Â strides made with 5G trials with help from Chinese company Huawei (2020) |
| Telecommunication systems: | domestic: additional digital exchanges are permitting a rapid increase in subscribers; the construction of a network of technologically advanced intercity trunk lines, using both fiber-optic cable and digital microwave radio relay, is facilitating communication between urban centers; remote areas are reached by a domestic satellite system; fixed-line 14 per 100 and mobile-cellular teledensity is 97 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 90; landing points for the SeaMeWe-3 & -5, MedNautilus Submarine System, Turcyos-1 & -2 submarine cables providing connectivity to Europe, Africa, the Middle East, Asia, Southeast Asia and AustraliaÂ ; satellite earth stations - 12 Intelsat; mobile satellite terminals - 328 in the Inmarsat and Eutelsat systems (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Turkish Radio and Television Corporation (TRT) operates multiple TV and radio networks and stations; multiple privately owned national television stations and 567 private regional and local television stations; multi-channel cable TV subscriptions available; 1,007 private radio broadcast stations |
| Broadcast media: | (2019) |
| Internet country code: | .tr |
| Internet users: | total: 57,725,143 |
| Internet users: | percent of population: 71.04% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 13,407,226 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 16 (2018 est.) |
