| Communications | Maldives |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 12,316 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.14 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 611,662 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 155.95 (2019 est.) |
| Telecommunication systems: | general assessment: upgrades to telecom infrastructure extended to outer islands; two mobile operators extend LTE coverage;Â tourism has strengthened the telecom market with investment and accounts for theÂ high mobile penetration rate;Â mobile penetration passes 250%; launches 5G trials (2020) |
| Telecommunication systems: | domestic: fixed-line is at 3 per 100 persons and high mobile-cellular subscriptions stands at 156 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 960; landing points for Dhiraagu Cable Network, NaSCOM, Dhiraagu-SLT Submarine Cable Networks and WARF submarine cables providing connections to 8 points in Maldives, India, and Sri Lanka;Â satellite earth station - 3 Intelsat (Indian Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned radio and TV monopoly until recently;Â 4 state-operated and 7 privately owned TV stations and 4 state-operated and 7 privately owned radio stations (2019) |
| Internet country code: | .mv |
| Internet users: | total: 248,004 |
| Internet users: | percent of population: 63.19% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 53,470 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2018 est.) |
