| Communications | Niger |
| --- | --- |
| Telephones - main lines in use: | 65,000 (2009) |
| Telephones - mobile cellular: | 2.599 million (2009) |
| Telephone system: | general assessment: inadequate; small system of wire, radio telephone communications, and microwave radio relay links concentrated in the southwestern area of Niger |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity remains less than 20 per 100 persons despite a rapidly increasing cellular subscribership base; domestic satellite system with 3 earth stations and 1 planned |
| Telephone system: | international: country code - 227; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2009) |
| Broadcast media: | state-run TV station; 3 private TV stations provide a mix of local and foreign programming; only national radio station with national reach is state-run; about 30 private radio stations operate locally; as many as 100 community radio stations broadcast; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .ne |
| Internet hosts: | 172 (2010) |
| Internet users: | 115,900 (2009) |
