| Communications | Seychelles |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,627 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20.59 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 188,879 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 198.15 (2019 est.) |
| Telecommunication systems: | general assessment: effective system; direct international calls to over 100 countries; radiotelephone communications between islands in the archipelago; 3 ISPs; use of Internet cafes' for access to Internet; 4G services and 5G pending (2020) |
| Telecommunication systems: | domestic: fixed-line 21 per 100 and mobile-cellular teledensity is 198 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 248; landing points for the PEACE and the SEAS submarine cablesÂ providing connectivity to Europe, the Middle East, Africa and Asia; direct radiotelephone communications with adjacent island countries and African coastal countries; satellite earth station - 1 Intelsat (Indian Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the national broadcaster, Seychelles Broadcasting Corporation (SBC), which is funded by taxpayer money, operates the only terrestrial TV station, which provides local programming and airs broadcasts from international services; a privately owned Internet Protocol Television (IPTV) channel also provides local programming multi-channel cable and satellite TV are available through 2 providers; the national broadcaster operates 1 AM and 1 FM radio station; there are 2 privately operated radio stations; transmissions of 2 international broadcasters are accessible in Victoria |
| Broadcast media: | (2019) |
| Internet country code: | .sc |
| Internet users: | total: 55,616 |
| Internet users: | percent of population: 58.77% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 19,696 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 21 (2018 est.) |
