| Communications | Seychelles |
| --- | --- |
| Telephones - main lines in use: | 22,000 (2010) |
| Telephones - mobile cellular: | 117,600 (2010) |
| Telephone system: | general assessment: effective system |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity is 130 telephones per 100 persons; radiotelephone communications between islands in the archipelago |
| Telephone system: | international: country code - 248; direct radiotelephone communications with adjacent island countries and African coastal countries; satellite earth station - 1 Intelsat (Indian Ocean) |
| Broadcast media: | the government operates the only terrestrial TV station, which provides local programming and airs broadcasts from international services; multi-channel cable and satellite TV are available via subscription; the government operates 1 AM and 1 FM radio station; transmissions of 2 international broadcasters are accessible in Victoria (2007) |
| Internet country code: | .sc |
| Internet hosts: | 256 (2010) |
| Internet users: | 32,000 (2008) |
