| Communications | Djibouti |
| --- | --- |
| Telephones - main lines in use: | 10,800 (2008) |
| Telephones - mobile cellular: | 44,100 (2005) |
| Telephone system: | general assessment: telephone facilities in the city of Djibouti are adequate, as are the microwave radio relay connections to outlying areas of the country |
| Telephone system: | domestic: microwave radio relay network; mobile cellular coverage is primarily limited to the area in and around Djibouti city |
| Telephone system: | international: country code - 253; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable with links to Asia, the Middle East, and Europe; satellite earth stations - 2 (1 Intelsat - Indian Ocean and 1 Arabsat); Medarabtel regional microwave radio relay telephone network (2007) |
| Radio broadcast stations: | AM 1, FM 2, shortwave 0 (2001) |
| Television broadcast stations: | 1 (2001) |
| Internet country code: | .dj |
| Internet hosts: | 199 (2009) |
| Internet users: | 13,000 (2008) |
