| Communications | LIBYA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 710,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (2014 est.) |
| Telephones - mobile cellular: | total: 10.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 161 (2014 est.) |
| Telephone system: | general assessment: telecommunications system is state-owned and service is poor, but investment is being made to upgrade; state retains monopoly in fixed-line services; mobile-cellular telephone system became operational in 1996 |
| Telephone system: | domestic: multiple providers for a mobile telephone system that is growing rapidly; combined fixed-line and mobile-cellular teledensity has soared |
| Telephone system: | international: country code - 218; satellite earth stations - 4 Intelsat, NA Arabsat, and NA Intersputnik; submarine cable to France and Italy; microwave radio relay to Tunisia and Egypt; tropospheric scatter to Greece; participant in Medarabtel (2010) |
| Broadcast media: | state-funded and private TV stations; some provinces operate local TV stations; pan-Arab satellite TV stations are available; state-funded radio (2012) |
| Radio broadcast stations: | AM 16, FM 3, shortwave 3 (2001) |
| Television broadcast stations: | 12 (plus 1 repeater) (1999) |
| Internet country code: | .ly |
| Internet users: | total: 1.4 million |
| Internet users: | percent of population: 21.8% (2014 est.) |
