| Communications | UNITED ARAB EMIRATES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,208,425 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 38 (July 2015 est.) |
| Telephones - mobile cellular: | total: 17.943 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 310 (July 2015 est.) |
| Telephone system: | general assessment: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones; key centers are Abu Dhabi and Dubai |
| Telephone system: | domestic: microwave radio relay, fiber-optic and coaxial cable |
| Telephone system: | international: country code - 971; linked to the international submarine cable FLAG (Fiber-Optic Link Around the Globe); landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Indian Ocean) and 1 Arabsat; tropospheric scatter to Bahrain; microwave radio relay to Saudi Arabia (2015) |
| Broadcast media: | except for the many organizations now operating in Dubai's Media Free Zone, most TV and radio stations remain government-owned; widespread use of satellite dishes provides access to pan-Arab and other international broadcasts (2007) |
| Internet country code: | .ae |
| Internet users: | total: 5.274 million |
| Internet users: | percent of population: 91.2% (July 2015 est.) |
