| Communications | BULGARIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,654,535 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 23 (July 2015 est.) |
| Telephones - mobile cellular: | total: 9.195 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 128 (July 2015 est.) |
| Telephone system: | general assessment: inherited an extensive but antiquated telecommunications network from the Soviet era; quality has improved with a modern digital trunk line now connecting switching centers in most of the regions; remaining areas are connected by digital microwave radio relay |
| Telephone system: | domestic: the Bulgaria Telecommunications Company's fixed-line monopoly terminated in 2005 in an effort to upgrade fixed-line services; mobile-cellular teledensity, fostered by multiple service providers, is over 125 telephones per 100 persons |
| Telephone system: | international: country code - 359; submarine cable provides connectivity to Ukraine and Russia; a combination submarine cable and land fiber-optic system provides connectivity to Italy, Albania, and Macedonia; satellite earth stations - 3 (1 Intersputnik in the Atlantic Ocean region, 2 Intelsat in the Atlantic and Indian Ocean regions) (2015) |
| Broadcast media: | 4 national terrestrial TV stations with 1 state-owned and 3 privately owned; a vast array of TV stations are available from cable and satellite TV providers; state-owned national radio broadcasts over 3 networks; large number of private radio stations broadcasting, especially in urban areas (2010) |
| Internet country code: | .bg |
| Internet users: | total: 4.072 million |
| Internet users: | percent of population: 56.7% (July 2015 est.) |
