| Communications | Uruguay |
| --- | --- |
| Telephones - main lines in use: | 962,200 (2010) |
| Telephones - mobile cellular: | 4.437 million (2010) |
| Telephone system: | general assessment: fully digitalized |
| Telephone system: | domestic: most modern facilities concentrated in Montevideo; new nationwide microwave radio relay network; overall fixed-line and mobile-cellular teledensity approaching 150 telephones per 100 persons |
| Telephone system: | international: country code - 598; the UNISOR submarine cable system provides direct connectivity to Brazil and Argentina; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | mixture of privately-owned and state-run broadcast media; more than 100 commercial radio stations and about 20 television channels broadcasting; cable TV is available; large number of community radio and TV stations; adopted the hybrid Japanese/Brazilian HDTV standard (ISDB-T) in December 2010 (2010) |
| Internet country code: | .uy |
| Internet hosts: | 765,525 (2010) |
| Internet users: | 1.405 million (2009) |
