| Communications | SEYCHELLES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,341 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 23 (July 2015 est.) |
| Telephones - mobile cellular: | total: 148,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 160 (July 2015 est.) |
| Telephone system: | general assessment: effective system |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 180 telephones per 100 persons; radiotelephone communications between islands in the archipelago |
| Telephone system: | international: country code - 248; direct radiotelephone communications with adjacent island countries and African coastal countries; satellite earth station - 1 Intelsat (Indian Ocean) (2015) |
| Broadcast media: | the government operates the only terrestrial TV station, which provides local programming and airs broadcasts from international services; multi-channel cable and satellite TV are available through 2 providers; the government operates 1 AM and 1 FM radio station; there is 1 privately operated radio station; transmissions of 2 international broadcasters are accessible in Victoria (2016) |
| Internet country code: | .sc |
| Internet users: | total: 54,000 |
| Internet users: | percent of population: 58.1% (July 2015 est.) |
