| Communications | Seychelles |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,652 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 167,282 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 178 (2017 est.) |
| Telephone system: | general assessment: effective system; radiotelephone communications between islands in the archipelago (2018) |
| Telephone system: | domestic: fixed-line 21 per 100 and mobile-cellular teledensity isÂ 178 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 248; landing points for the PEACE and the SEAS submarine cablesÂ providing connectivity to Europe, the Middle East Africa and Asia; direct radiotelephone communications with adjacent island countries and African coastal countries; satellite earth station - 1 Intelsat (Indian Ocean) (2019) |
| Broadcast media: | the national broadcaster, Seychelles Broadcasting Corporation (SBC), which is funded by taxpayer money, operates the only terrestrial TV station, which provides local programming and airs broadcasts from international services; a privately owned Internet Protocol Television (IPTV) channel also provides local programming multi-channel cable and satellite TV are available through 2 providers; the national broadcaster operates 1 AM and 1 FM radio station; there are 2 privately operated radio stations; transmissions of 2 international broadcasters are accessible in Victoria |
| Broadcast media: | (2019) |
| Internet country code: | .sc |
| Internet users: | total: 52,664 |
| Internet users: | percent of population: 56.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 15,221 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 16 (2017 est.) |
