| Communications | Nepal |
| --- | --- |
| Telephones - main lines in use: | 805,100 (2008) |
| Telephones - mobile cellular: | 4.2 million (2008) |
| Telephone system: | general assessment: poor telephone and telegraph service; fair radiotelephone communication service and mobile-cellular telephone network |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone service subscribership base only about 15 per 100 persons |
| Telephone system: | international: country code - 977; radiotelephone communications; microwave landline to India; satellite earth station - 1 Intelsat (Indian Ocean) (2008) |
| Radio broadcast stations: | AM 6, FM 80, shortwave 4 (2008) |
| Television broadcast stations: | 9 (plus 9 repeaters) (2008) |
| Internet country code: | .np |
| Internet hosts: | 43,411 (2009) |
| Internet users: | 499,000 (2008) |
