| Communications | Nepal |
| --- | --- |
| Telephones - main lines in use: | 845,500 (2011) |
| Telephones - mobile cellular: | 13.355 million (2011) |
| Telephone system: | general assessment: poor telephone and telegraph service; fair radiotelephone communication service and mobile-cellular telephone network |
| Telephone system: | domestic: mobile-cellular telephone subscribership base is increasing with roughly 90% of the population living in areas covered by mobile carriers |
| Telephone system: | international: country code - 977; radiotelephone communications; microwave and fiber landlines to India; satellite earth station - 1 Intelsat (Indian Ocean) |
| Broadcast media: | state operates 2 TV stations as well as national and regional radio stations; roughly 30 independent TV channels are registered with only about half in regular operation; nearly 400 FM radio stations are licensed with roughly 300 operational (2007) |
| Internet country code: | .np |
| Internet hosts: | 41,256 (2012) |
| Internet users: | 577,800 (2009) |
